transaction_id,amount,payment_method,account_age_days,device_age_days,transactions_last_24h,previous_chargebacks,ip_risk,device_risk,unknown_location,is_fraud
TXN-000001,95950.08,UPI,1127,502,8,1,0.736,0.677,1,0
TXN-000002,4864.22,UPI,896,477,17,4,0.027,0.199,1,1
TXN-000003,88430.93,UPI,654,1430,14,2,0.278,0.215,0,1
TXN-000004,14597.78,NETBANKING,2473,542,26,0,0.73,0.536,0,0
TXN-000005,124427.76,NETBANKING,2365,394,23,0,0.046,0.228,0,0
TXN-000006,129985.9,WALLET,1139,929,21,2,0.163,0.355,0,0
TXN-000007,25753.68,CARD,670,947,13,2,0.99,0.64,1,0
TXN-000008,126443.5,UPI,939,66,26,2,0.401,0.066,1,1
TXN-000009,74934.77,WALLET,586,543,5,1,0.745,0.539,1,0
TXN-000010,59970.14,CARD,567,1044,16,0,0.756,0.861,0,0
TXN-000011,63381.78,UPI,1577,782,20,3,0.529,0.971,0,0
TXN-000012,80591.85,NETBANKING,1394,229,10,3,0.158,0.003,0,0
TXN-000013,16050.98,NETBANKING,2080,1248,7,1,0.374,0.162,1,0
TXN-000014,73342.0,UPI,1487,630,8,0,0.241,0.567,0,0
TXN-000015,122421.89,CARD,526,1352,16,4,0.165,0.528,1,0
TXN-000016,139344.13,CARD,1277,818,22,5,0.373,0.9,0,1
TXN-000017,9697.48,UPI,2410,1135,8,4,0.22,0.071,0,1
TXN-000018,4808.8,NETBANKING,291,1053,8,2,0.669,0.214,0,0
TXN-000019,70998.64,WALLET,780,194,4,5,0.431,0.424,0,0
TXN-000020,147626.37,UPI,249,825,24,2,0.801,0.109,0,1
TXN-000021,21113.33,CARD,1141,948,8,0,0.443,0.861,1,1
TXN-000022,149892.44,UPI,383,485,6,3,0.486,0.214,0,1
TXN-000023,423.09,WALLET,1087,932,10,3,0.697,0.731,1,1
TXN-000024,44576.5,UPI,2373,1111,2,5,0.314,0.05,0,1
TXN-000025,76223.49,CARD,281,1219,3,5,0.862,0.404,1,1
